,app,google_score,reviews,user_grade
0,Stickman: dessiner l'animation,"4,1","j'adore, mais il y a un petit problème... on ne peut pas bien dessiner mais ça marche cool je conseille.",4
1,Stickman: dessiner l'animation,"4,1",C'est trop bien fait je pense que vous devriez metr une mis à jour pour que le jeu soit encore mieux.,5
2,Stickman: dessiner l'animation,"4,1",Trop bien mais on ne peut pas enregistrer les déssin,4
3,Stickman: dessiner l'animation,"4,1",Pourquoi ça marche la vidéo trop vite,1
4,Stickman: dessiner l'animation,"4,1",Animation nul aucun choix pour a la vitesse,1
5,Stickman: dessiner l'animation,"4,1",C'est vraiment vraiment vraiment la meilleure application de tous les temps je voudrais qu'on puisse en faire plus pour nous merci,5
6,Stickman: dessiner l'animation,"4,1",C'est pas très pratique et précis,3
7,Stickman: dessiner l'animation,"4,1","Il manque des chose Bonjour, j'j'ai essayer votre jeu qui est bien car il y a une musoque appaisante pendant qu'on dessine et que pour moi il n'y a pas des beug et si vous avez des pub mettez tout simplement le mode avion bref maintenant passon au chose sérieuse! Il manque des page, en gros tu en a aumoin 15 ou 20page (je me rappelle plus car j'ai désinstallé) c'est juste fait pour les animation courte et aussi les couleur pas assez ou pas du tout et Vous devrez ajouter la fonction taille du pen",5
8,Stickman: dessiner l'animation,"4,1",La seule chose à changer c' est la jouabilité car avec nos doigts nous ne sommes pas du tout capable de dessiner parfaitement en plus nous n'avons pas de stylet✍️ comme dans certains téléphone 📱.Vous les créateurs de ce jeux je vous propose que si nous faisions les dessins sur une feuille puis nous la filmions vice versa se serait mieux .Sinon après faites ce qui vous plaît .bonne année 👋,4
9,Stickman: dessiner l'animation,"4,1",C'est bien mais il y a qu'elle que trucs qui ne vont pas 1 l'écran est trop petit 2 il y a que 15 scènes dommage 3 il y a des pub quand vous quitter le jeu Enfin bref mais c'est quand même bien,4
10,Stickman: dessiner l'animation,"4,1","Nul, il n'y a pas de bouton d'enregistrement, et en plus j'ai cliqué par accident sur le bouton pour aller en arrière et il a tout supprimé, je désinstalle cette application et plus jamais je ne l'utiliserai, en plus c'est plein de pub qui dur SUPER longtemps juste pour prendre UNE couleur et quand je veut en débloquer une il faut que je regarde une vidéo pour après tout perdre !",4
11,Stickman: dessiner l'animation,"4,1",nul complètement nul on peu pas faire de rond correctement. et en plus le pire c'est que sa crache quand je fait plus de quatre dessin. et les couleur on peu juste les avoir avec des pub pire jeu d'animation je regrette d'avoir jouer à se jeu nul!!!!!!! et je met une étoile parce que sinon je peu pas publier,1
