,app,google_score,reviews,user_grade
0,Duolingo - Apprendre une langue gratuitement,"4,7","J'apprécie que les traductions soient alternativement anglais /français et français / anglais. Il faut parler, mais aussi écrire. Si on a le temps, on peut faire plusieurs leçons d'affilée sur différents thèmes. Je débute et je n'ai pas encore tout compris à propos de l'utilisation des XP, des couronnes, des vies.... Je prends beaucoup de plaisir à pratiquer tous les matins. Je vais m'améliorer c'est sûr. Merci.",4
1,Duolingo - Apprendre une langue gratuitement,"4,7","La dernière mise à jour introduit un système qu'on retrouve sur de nombreuses applis et qui insupporte au plus haut point (système d'énergie avec une régénération sur la durée). En plus de ce système qui pousse à prendre le premium, le fonctionnement a également changé. Avant la mise à jour, quand on avait 2 perfect sur un niveau on pouvait passer directement au niveau suivant plutôt qu'avoir à faire les 5 leçons. Maintenant, c'est 5 leçons obligatoirement. NUL X2. Ça pourrait être pire, okay..",2
2,Duolingo - Apprendre une langue gratuitement,"4,7","La meilleure appli pour apprendre une langue gratuitement. Je l'ai depuis quelques jours et pour l'instant je n'ai rien à redire : beaux designs, consignes claires, diversités dans les exercices (traduction en thème ou en version, expression orale...), système de points, de classement et de vies qui rend attractif l'apprentissage, la version payante n'est pas indispensable pour suivre la totalité des cours (contrairement à d'autres applis)... Je n'y ai trouvé pour l'instant que du positif !",5
3,Duolingo - Apprendre une langue gratuitement,"4,7","gratuite, simple, ludique, cette appli est basée sur la répétition pour assurer la mémorisation. Depuis septembre 2020, une augmentation de la difficulté des leçons s'est associée à un système de comptage des erreurs qui bloque la progression à 5 erreurs et incite à passer à la version payante : cette évolution va me faire abandonner cette appli après 550 jours d'une collaboration sympa. A ce stade, je ne recommande plus l'appli. Dommage.",2
4,Duolingo - Apprendre une langue gratuitement,"4,7","Très bonne application pour découvrir et apprendre de nouvelles langues !!! Néanmoins, le système qui nous enlève des cœurs est très désagréable et inutile. En effet, lorsque l'on a plus de cœurs, on ne peut plus apprendre :( Très grosse erreur de la part de Duolingo. À corriger très rapidement. J'espère également que le contenu en français sera plus diversifié, heureusement que mes connaissances en anglais me sont bénéfiques dans l'apprentissage d'autres langues...",4
5,Duolingo - Apprendre une langue gratuitement,"4,7","Cette application permet d'apprendre une langue, avec des paliers à notre niveaux. Je suis sur cette plateforme depuis 2 ans et demi, sans abonnement, avec la version étudiant, sans vies, possibilité de jouer autant que l'on le souhaite. J'ai eu une mauvaise surprise hier en ouvrant l'application. Le système de vies de la version adulte est appliqué désormais au système éducatif. Je ne peux désormais plus jouer autant que je le souhaite, cela me bloquant dans mon apprentissage. Je suis déçue.",4
6,Duolingo - Apprendre une langue gratuitement,"4,7","Franchement je suis forte en Anglais, mais là j'ai appris plein de vocabulaire ! C'est gratuit et les pubs ne sont pas du tout envahissantes ! Les graphismes sont modernes, et les bruitages sont corrects. Le seul micro truc que je reprocherait, c'est: À quoi ça sert d'avoir des amis, si tu ne peux pas communiquer avec eux ? (Si vous voyez quelqu'un qui s'appelle Blue_Dragon, c'est moi🙂)",5
7,Duolingo - Apprendre une langue gratuitement,"4,7","Application ludique et attrayante, assez complète par rapport au fait d'écrire, de lire tout haut, de traduire, de compléter... Certaines phrases ne sont, cependant, pas tout à fait correctes, et j'aurais aimé plus d'explications grammaticales. Dommage également qu'il n'y ait pas de difference entre le portugais brésilien et européen. Mais je trouve que c'est un excellent support pour commencer une langue !",4
8,Duolingo - Apprendre une langue gratuitement,"4,7","C'était parfait jusqu'à la dernière mise à jour. Ça fait vraiment super longtemps que je suis sur cette plate-forme et je n'ai jamais rien eu à dire car super. Dorénavant, nous avons genre 5 vies et lorsque que nous faisons des fautes, nous en perdons \""revenez dans 4 heures lorsque une vie sera réapparue\"" ! On se croirait dans un jeu mobile qui force à l'achat. C'est vraiment décevant et je ne trouve pas que cela encourage \""l'enseignement gratuit\"".",2
9,Duolingo - Apprendre une langue gratuitement,"4,7","Parfait !! Une expérience gratuite tout le long de l'apprentissage, des exercices complets, un système de révisions pour regagner des vies, tout le temps passé sur cette appli est savamment utilisé ! De plus, le choix de langues est très large et l'appli contient même des langues en voie de disparition ou même des langues de fiction ! On peut d'ailleurs en apprendre autant qu'on veut en même temps, et tout ça gratuitement. Je recommande à 100% !!! 😍",5
10,Duolingo - Apprendre une langue gratuitement,"4,7","Il y a eu une mise à jour la semaine dernière avec un système de vie qui rend l'application gratuite inutilisable. Domage je l'aimais très bien avant. On a plus le droit qu'à 5 erreurs par jour. l'App ne propose pas de cours ni de fiche de lecture. Elle se base sur des nombreuses répétitions où il faut deviner le résultat. On aprends donc par l'erreur. Hors l'erreur est maintenant très punitive, beaucoup trop. Il peut avoir jusqu'à 1000 exercices par unité avec 5 erreurs max par jour...",1
11,Duolingo - Apprendre une langue gratuitement,"4,7",Une super façon de se remettre à l'anglais! Le début est très simple et répétitif mais après ça devient vraiment intéressant. Ils ont rajouté un mode histoires qui donne un peu plus de spontaneité à l'apprentissage. J'adore! Je m'accroche et j'ai bientôt tout fini! (J'ai commencé en avril 2020 et je fais en moyenne 20 min par jours; j'ai utilisé 3 gels de série).,5
12,Duolingo - Apprendre une langue gratuitement,"4,7","Je me suis lancée dans l'apprentissage du japonais uniquement avec Duolingo et une autre application que je trouve complémentaire. Et je trouve ça super bien fait ! L'application est ludique. Ca m'a permis de rester investie dans le temps : ça fait 250 jours que je joue tous les jours. Et du coup, forcément la constance associée aux exercices très bien faits amène les progrès ! Top ! Je recommande vivement !",5
13,Duolingo - Apprendre une langue gratuitement,"4,7","Bonsoir, J’utilise la version gratuite et je suis ravie! J’ai fais énormément de progrès a mon échelle étant une littéralement une quille en langue. Je vise seulement l’espagnol pour l'instant. On dit que la première est la plus dure. Alors accrochez vous ! C’est ,a première fois que je suis aussi sérieuse dans l’apprentissage d'une langue. C’est ludique. L’agencement des étapes de l’appli est très bien agencé. Les voix sont parfaites, possibilité de ralenti. Un grand merci.",5
14,Duolingo - Apprendre une langue gratuitement,"4,7","J'utilise Duolingo depuis des années et je suis du même avis que Théo Bre, pourquoi il y a une limite de vie dans le jeu maintenant ? Le mot GRATUIT n'a plus de sens, il s'agit d'une technique pour forcer au paiement... Je ne comprends vraiment pas, surtout qu'il y a toujours les PUB dans l'application... J'espère sincèrement que vous allez faire machine arrière rapidement !",1
15,Duolingo - Apprendre une langue gratuitement,"4,7","Le système de 5 vies est totalement à l'opposé aux valeurs que Duolingo défend. Chaque erreurs coûtent chère et quand on apprend, le but est de se tromper, réessayer, etc. 17 questions, 5 vies si vous perdez il faut avoir 450 diamants sauf que pour en gagner 100, il faut finir plusieurs séries... Il faut donc payer pour progresser et avoir des vies illimités. C'est très paradoxal quand on sait que cette application met en avant l'enseignement pour tous. Vraiment dommage, bcp de bonnes idées.",1
16,Duolingo - Apprendre une langue gratuitement,"4,7","Tres bien pour une application gratuite. Elle permet de réactiver les connaissances. Cependant les mots utilisés et les phrases proposées sont très répétitives. De plus, tous les mots ne sont pas pris en compte (ex en espagnol pour dire ''jus'', Duolingo propose ''jugo'' et refuse ''zumo''). Rien ne vaut l'immersion dans le pays pour apprendre une langue ! En attendant des jours plus propices aux voyages on passe le temps de manière ludique.",4
17,Duolingo - Apprendre une langue gratuitement,"4,7","L'application est globalement très satisfaisante, et efficace, mais pour progresser, il faut l'utiliser quotidiennement : on pratique l'anglais à l'oral et à l'écrit, on apprend aussi à traduire de l'anglais au français et inversement. J'ai déjà appris beaucoup de choses : je discerne maintenant, les différences entre les sous-titres en français et ce que j'ai entendu en anglais, c'est pour moi un signe positif. Cependant, je sais que j'ai encore beaucoup de choses à apprendre avec Duolingo.",4
18,Duolingo - Apprendre une langue gratuitement,"4,7","BUG : Normalement, après avoir fait 2 leçons consécutives sans faute d'un module, il y a un message qui s'affiche proposant de monter le module au niveau suivant sans faire toutes les leçons. MAIS depuis au moins un mois, presque à chaque fois, le message disparaît en une fraction de seconde, sans avoir pu répondre. Pourriez-vous ajouter un paramètre qui rend ce message plus persistant, qui demande confirmation avant de se fermer ? Et/ou faire que ce message ne disparaisse pas tout seul ? Merci",2
19,Duolingo - Apprendre une langue gratuitement,"4,7","Ludique mais terriblement efficace ! On apprend vite et les difficultés sont introduites en douceurs ! On s'aperçoit juste qu'on commence à intégrer du vocabulaire et des regles de grammaire qui n'ont pas été expliquées auparavant mais simplement absorbées avec un jeu de questions sympatiques et très variées. Seul petit bémol....parfois les sons ne sont pas toujours nets et il arrive qu'on puisse confondre \"" them\"" et \""our\"" ou \""he\"" et \""she\""! Une écoute au ralenti supprime le problème !",5
20,Duolingo - Apprendre une langue gratuitement,"4,7","Super !! Cette appli est géniale, en quelques jours j'ai beaucoup appris je me suis beaucoup amélioré en Anglais . Le petit inconvénient c'est le fait que quand on se trompe au bout d'un moment il faut attendre parce qu'on a plus \""d'énergie \"". Ah parce ça je vous conseille cette appli elle est superbe !",4
21,Duolingo - Apprendre une langue gratuitement,"4,7","Je passe de 5 étoiles à seulement 2 suite à la dernière mise à jour. Je suis rendu à une série de 130 jours et je progressait plutôt bien jusqu'à il y a peut de temps ou ils ont ajouté le principe de vie épuisé, c'est sûrement la pire des mises à jour qu'il y ai eu, décourageant et absurde, on ne progresse plus à son rythme et c'est assez insupportable !! 😡 RETIREZ CETTE MISE À JOUR QUE PERSONNES NE VEUX SVP, JE VEUX RETROUVER LE DUOLINGO QUE J'AIMAIS, CELUI OU ON APPRENAIT À NÔTRE RYTHME !!!!!",2
