,app,google_score,reviews,user_grade
0,Banque,"4,1",Une honte. Ça fait plus de 4 mois que j'ai un problème d'identification alors que tout est bon. Des fois en forçant pendant 30minutes j'arrive à me connecter et d'autres fois impossible. Si on ajoute à ça la nécessité de devoir se connecter à l'appli pour activer son secur pass à chaque achat en ligne c'est à rendre fou. La caisse d'épargne vous faites quoi ?? Je pourrais un jour acheter des choses en lignes ou vous n'avez pas l'intention de réagir ? (4 mois !!). Samsung A70,1
1,Banque,"4,1","Depuis la mise en place du sécur'pass (bravo pour la communication...) je ne peux plus faire mes virements en ligne sans passer par cette application, qui est plus lourde qu'utile. On perd en agilité(et en inclusivité, sympa pour les seniors non-connectés ou détenteurs de téléphones non smart) et je ne vois pas vmt le gain en terme de sécurité. Nul",1
2,Banque,"4,1",Depuis dernière mise à jour erreur connexion on peut pas accéder à l'application et effectuer des opérations ! Plus de 2 mois installer/désinstaller puis à présent impossible de se connecter ! après divers échanges avec vos services concernant les divers problèmes liés à l'application aucun changement. C'est une HONTE! Si je pouvais mettre 0 ça serait le cas 0,1
3,Banque,"4,1","Galère en particulier depuis 2 jours bug informatique de 24h sur toutes les agences caisses d'épargne du département . Impossibilité d'effectuer des opérations, ni d'avoir accès au comptes avec l'application, Aucune possibilité non plus d'effectuer des achats ni de retraits même dans les autres banques Ben sa craint..!!! C'est contrariant et inacceptable . Je me demande comment cela a pu toucher tous les agences et clients de C.E Et comme moi, tous mécontent et déçu de cette situation..",1
4,Banque,"4,1",J'adore l'application mais depuis la dernière Maj le code ne se met plus tout seul en recevant le SMS quand je fais un virement. C'est dommage c'était tellement appréciable. En tout cas bravo à l'équipe ils ont fait un bon de géant depuis. Je suggère de tester l'interface avec des tests e2e automatisé dans le CI. Ça évite de pusher du Code qui beug. Si c'est un bug... Affaire à suivre.,4
5,Banque,"4,1","Autant pour moi ! Je passe de deux étoiles à 0, 0 aussi virtuel que cette appli, c une catastrophe, pire pour un organisme bancaire c'est impossible d'être aussi mauvais. A présent, j'ai une belle page d'accueil qui ne sert a rien, mis a part perdre sont temps a attendre qu'elle disparaisse, mais le comble, impossible de me connecter à mon compte à présent. On va voir combien de temps met une équipe pareille à régler le problème !! ( C'est une appli bancaire, pas un jeu de puzzle)",1
6,Banque,"4,1","Application gravement inutile étant donné que l'on a pas accès à son argent en permanence ! Ca celle-ci fonctionne ou pas de manière aléatoire ! Une honte pour une si grande entreprise. Étant donné qu'il en est de même pour l'accès via internet au compte titres, je vais changer de banque des que possible !",1
7,Banque,"4,1",Depuis la mise à jour impossible de se connecter à mon compte bravo les informaticiens prenez l'habitude d'essayer vos applications avant de les mettre sur le store. De plus l'installation et la mise à jour s'est faite directement sans aucune acceptation de notre part sommes-nous des clients ou des usagers? J'espère que cela sera corriger très rapidement car j'utilise comme beaucoup de vos clients le Smartphone pour visualiser mes comptes. La MàJ doit être voulu et acceptée par le Client.,1
8,Banque,"4,1",Une belle mise à jour avec la possibilité d'une autre vue plus pratique et intuitive et la possibilité d'ajouter le visu sur les comptes des autres banques !! Au top mais ça n'a duré qu'une connexion puis plus rien !! Vraiment dommage ! A quand la mise en place de cette version définitive ?,4
9,Banque,"4,1","Application très pratique. J'ai eu récemment un souci de désactivation de l'accès par empreinte digitale. J'ai dû supprimer toutes les données (merci au support technique réactif) et donc tout reconfigurer ; mais à part ça c'est tout bon. MàJ: Je retire 1 étoile pour la section Assurance Vie qui est nettement en dessous du reste de l'appli (met un temps fou pour s'y connecter, trés souvent inaccessible pendant des jours, et se referme si on a le malheur de cliquer sur \u003c au lieu de x).",4
