,app,google_score,reviews,user_grade
0,Cover Fire: Jeux de Tir Offline,"4,5","C'est un très bon jeu. En le jouant on a l'impression que nous sommes vraiment sur un terrain de combat. C'est l'un des meilleurs jeux que je n'ai jamais connu, un meilleur moyen de distraction. Je retiens mes deux étoiles parce qu'il est difficile d'avoir des outils de combat (les grenades, énergies...) et de plus on a pas la possibilité d'éviter les bâles adverses.",3
1,Cover Fire: Jeux de Tir Offline,"4,5","Rien n'a dire de ce jeu il est vraiment trop bien, le graphisme très bien réalisé, le paysage cool. En passant mes amis je vous le conseil parceque vous ne serez jamais fatiguée avec ce jeu là. Je remercie 🙏🙏beaucoup le concepteur de ce jeu qui a fait un excellent travail👍👍 Baye.",5
2,Cover Fire: Jeux de Tir Offline,"4,5",C'est très cool le jeu. J'apprécie beaucoup le graphisme..... Seulement qu'il nous faut a chaque fois plus d'argent pour ameliorer son niveau d'équipement. Ça demande aussi des fois le regard d'une vidéo en ligne pour avoir plus de bonus... Mais je clique ça reponds vidéo non disponible. Les développeur peuvent intervenir a ce niveau. En dehors de ça. Je vous donne les cinq étoile. C'est ma première fois de noter une application que j'apprécie beaucoup.,5
3,Cover Fire: Jeux de Tir Offline,"4,5","Intéressant mais les stages sont de courtes durées et impossibilité de déplacer son tireur soi même. De plus il faut attendre des jours pour avoir pleins de compétences qui ne sont jamais suffisantes pour continuer le jeux qui limite j'ai envie de dire '' la rapidité d'exécution d'esquive'', mais il n'y a n'en pas. Tu te fais forcément tirer dessus; tu est couché ou accroupi à un endroit obligatoire du jeux et quand il sont contents ils t'affichent un bouton pour te dire d'aller à côté, de +...",3
4,Cover Fire: Jeux de Tir Offline,"4,5","Super jeux, très magnifique, l'un des meilleurs jeux de 3D je me sans joyeux en le jouant, y a les toutes les choses nécessaires mais seulement un manque d'achat volontaire c'est à dire tu ne peux pas acheter des personnes ou des armes qui te convient et puis en jouant tu ne peux pas aussi déplacer à volonté, au fait je vous remercie et veillez penser aux avis des gens qu'avant de prendre la décision de fournir un jeux🙏🙏🙏",5
5,Cover Fire: Jeux de Tir Offline,"4,5",Le jeux est bon mais vous gagnez plus côté de popularité si vous améliorez le dialogue faudrait que sa sorte de leurs bouche sa doit être parlé on doit les resentire les personnages améliorez les contours des personnages .pour moi ajouter l'analogue serais bien j'espère que j'ai participé a l'amélioration du jeux . a force de jouer j'ai remarqué le viseur est d'une faible intensité quand la bonne est blanche ou claire c'est difficile de visé,4
6,Cover Fire: Jeux de Tir Offline,"4,5","A ma connaissance, et je n'ai pas l'experience d'un large éventail d'autres applications du même genre, je dois honnêtement le préciser, c'est le meilleur jeu de combat moderne jouable sur smartphone. Excellents graphiques, superbe 3D, très divertissant..., 5 étoiles donc je donne ! Et je recommande naturellement..!",5
7,Cover Fire: Jeux de Tir Offline,"4,5",Superbe le jeu ....très réaliste....et encore ne demande pas de connectivité au réseau internet .... mais le seul défaut est le fait que nous pouvons pas payer les cartes et les armes normalement,4
8,Cover Fire: Jeux de Tir Offline,"4,5","Le graphisme est impeccable, je veux est très attrayant et les niveaux sont très bien calculés.j'aime beaucoup. Par contre je n'arrive pas à me connecter à la boutique, je ne sais pourquoi 😞",5
9,Cover Fire: Jeux de Tir Offline,"4,5","Excellent jeu, le graphisme est nickel et les niveaux sont très bien réalisés. Bravo aux concepteurs du jeu. Je conseille fortement ce jeu. Ça vaut vraiment 5 étoiles. Fred.",5
10,Cover Fire: Jeux de Tir Offline,"4,5",Il est super bon ce jeux je me demande s'il y' a un jeux plus chic que celui ci? Graphisme net👌 jouabilité en fonction de la capacité du téléphone. Au paravent je le jouais dans mon techno k7 et il était lent maintenant j'ai changé de téléphone Infinix hot9 et la jouabilité est très bien rapide et beaucoup satisfaisant. Je le conseille à tout mes amis.👍👍,5
11,Cover Fire: Jeux de Tir Offline,"4,5","Super ce jeu, bien qu'il ne manque pas quelques points gênants. Mais dans son ensemble c'est tout simplement extraordinaire. Je n'ai pas mis les 5 étoiles parce que les chapitres s'arrêtent un peu tôt",4
12,Cover Fire: Jeux de Tir Offline,"4,5",Ce jeu est bien mais pour les débloqué les personnages les cartes sont de trop Et pour les augmentations des niveaux de combat les heures son trop longue . L épisode 11 est très difficile le boss bazooka contre Emily c est pas cool. Pourquoi on ne peut pas payer les cartes de vie avec l argent du jeu,4
13,Cover Fire: Jeux de Tir Offline,"4,5",Totalement Injouable à partir du chapitre 11 en plus de quelques rares niveaux dans les chapitres précédent car toujours en mouvement tout en devant être précis... event bien mais sûrement trop surchargé en décor donc bons coups de lags et impossible à finir. Quelques bug dans des maps notamment pouvoir tirer à travers des murs voir tirer sur du décor a 1 metre de son reticule... missions parfois incohérentes avec le gameplay. Dommage car ce jeu à du potentiel.,2
14,Cover Fire: Jeux de Tir Offline,"4,5","J'ai vraiment aimé ce jeu... Pour moi c'est le meilleur arcade auquel j'ai joué. Faudrait juste rentre l'accès aux grenades, etc plus facile. Je l'ai depuis quelques semaines et j'ai déjà fini tous les niveaux... J'attends vivement la suite... Hurry up Guys, waiting for the next chapters😎",4
15,Cover Fire: Jeux de Tir Offline,"4,5",Graphisme est vraiment super. Et le niveau de jeu augmente au file des étapes ce qui rend plus excitant. Mais seul les billets sont parfois insuffisant pour améliorer les cartes et les armes. Mais mine de rien c'est un super jeux.,5
16,Cover Fire: Jeux de Tir Offline,"4,5","Absolument rien à redire, c'est un bon jeu qui a sa place dans le téléphone des gens. Le gameplay et les graphismes sont excellents. Et le mode zombie est un bon plus. Épargnez nous encore avec de nouveaux modes dans de prochaines mise à jour.",5
17,Cover Fire: Jeux de Tir Offline,"4,5","Bon jeu de combat. toute fois le contrôle des drones lors des missions de soutien aériens laisse à désirer.le devrait avoir le contrôle total du drone ce qui n'est pas le cas ,l'équipière n'en fait qu'à sa tête et c'est vexant😟😠😬😬",3
18,Cover Fire: Jeux de Tir Offline,"4,5","C'est un tres bon jeu. Bravo au concepteur, mais il faut parfois attendre plusieurs jours pour jouer d'autres parties, ca decois un peu. Mais si possible il faut donner aussi l'occasion pour que quelqu'un puisse deplacer lui meme son joueur",4
19,Cover Fire: Jeux de Tir Offline,"4,5","Ce jeux est trop bien, en plus il est hors ligne du coup pas besoin de jouer avec la connexion. Merci encore pour ce sublime jeux offline.",5
20,Cover Fire: Jeux de Tir Offline,"4,5",Magnifique Mais il faudrait revoir le temps pour les bonus et aussi songer à nous laisser acheter les armes et les personnes à l'aide de nos lingots d'or et des billets qu'on rassemble,5
21,Cover Fire: Jeux de Tir Offline,"4,5","Très bon jeu, le graphisme est tout simplement incroyable pour un jeu mobile mais seul bémol l'évolution qui est un peu dur vu les sommes d'argent demandées",5
22,Cover Fire: Jeux de Tir Offline,"4,5",Excellent jeu🔥💞💝. C'est le tout premier jeu que j'ai décidé de noter car il me satisfait vraiment. Il est hors ligne et tout t'y est pour mettre bien les joueurs. Bon courage à l'équipe de Développement 💯💫,5
23,Cover Fire: Jeux de Tir Offline,"4,5","Ce jeu est tout simplement waouh, je n'ai pas joué à assez de jeux mais je le classe en première place. Les graphismes au top, les chapitres, bien que difficiles, dont abordables. vous le recommande.",5
24,Cover Fire: Jeux de Tir Offline,"4,5","Excellent FPS, bonne histoire, très bonne jouabilité, bon graphisme et des Zombies à tuer, sans obligation. .. De même que pour les achats (sans obligation aussi). Essayez le, vous aurez pas de regret !",5
25,Cover Fire: Jeux de Tir Offline,"4,5",Cool le jeu. Mais c'est vraiment difficile d'accomplir les parties de précisions et de benifier de plus de cartes pour les personnages aussi bien que les armes!,5
26,Cover Fire: Jeux de Tir Offline,"4,5",Très bon jeux j'adore Mais il y a des niveaux très difficile qui t'oblige à dépenser ton argent dans la vraie vie sa reste à améliorer ''donc je 4 étoiles'' Épi des améliorations c trop coûté Épi les ennemis c trop difficile pour tué donc sa devient un peu fatigant Mais sinon je vous conseille de télécharger le jeux,4
27,Cover Fire: Jeux de Tir Offline,"4,5",Un bon jeux de guerre mais le gros problème se mettre à l'abri volontairement et au 13 ème épisode 7ème stage pas de possibilités pour faire les 3 étoiles tu tires sur la tête rien,4
28,Cover Fire: Jeux de Tir Offline,"4,5","Hyper cool vraiment merci pour ce concept, svp veuillez améliorer la stabilité des drones et aussi mettez des options pour avoir des bonus souvent, mais sinon je conseil au grand joueur de guerre !!!",4
29,Cover Fire: Jeux de Tir Offline,"4,5","Bon jeu, sorte de petit stage/level a effectuer Évidemment achat dans le jeu pour aller plus vite et améliorer plus rapidement son personnage. A voir dans le temps...",4
30,Cover Fire: Jeux de Tir Offline,"4,5",Très bon jeu avec bcp de mission plus dure à franchir mais juste dans l'épisode 8 the Awakening ça tourne trop vite on n'a du mal à viser nos cibles avec le drone s'il vous plaît,3
31,Cover Fire: Jeux de Tir Offline,"4,5",C'est une excellent jeu c'est clair. Mais il est difficile d'avoir de nouvelles armes et de nouveaux personnages facilement. La dernière étoile retirée c'est pour cette raison.,4
32,Cover Fire: Jeux de Tir Offline,"4,5","Trop cool, j'adore, graphisme et faire play, c'est juste magnifique. Mais à noter qu'il est un poil limité, faudrait qu'il y ait plus de niveau et un peu de complexité.😋😇😊😊",5
33,Cover Fire: Jeux de Tir Offline,"4,5","Un jeu des plus passionnants bien conçu, les missions plus palpitantes, exige une concentration impromptue. Chapeau !!!",5
34,Cover Fire: Jeux de Tir Offline,"4,5","Ce jeu est super !! Le graphique est bon, j'aime le ralenti des derniers tire de mission. Je m'amuse bien.",5
