,app,google_score,reviews,user_grade
0,Roblox,"4,5","J'adore ce jeu. Il n'y a pas mieux comme jeu en ligne. Juste il faudrait que les robux soit gratuit. Mais sinon, je donne 5 étoiles. Mais.... Je viens de me faire pirater mon compte. Je trouve que vous devriez mettre plus dd sécurité ! Je voudrais jouer sans même avoir un \""reconnexion\"" qui me dit que ce compte a été lancé depuis un autre appareil ! Mais sinon il est super ! Je vous le recommande !",5
1,Roblox,"4,5","Super \""jeu\"" si je peux dire ou plutôt application, car Roblox est une appli où on peut jouer à des milliers de jeux (il y en a de toutes sortes par exemple minijeux, aventures, horreur etc..) Si je met 4 étoiles, c'est qu'il y a beaucoup de jeux où on a besoin de robux (monnaie virtuelle) si on en a pas, les autres on un avantage que l'on a pas. Je trouve aussi étrange que certaines personnes insultantes ne soient pas ban. Mais pour résumer, super jeu je passe mes journées dessus avec mes amis",4
2,Roblox,"4,5","pour ceux qui hésites à télécharger le jeu, je trouve que c'est une super plate-forme (pour les joueurs et aussi pour les créateurs de jeu) il existe des milliers de jeux disponible et gratuit pour tout le monde ! on peut aussi personnaliser son avatar (mais faut payer avec du vrai argent, malgré ça, il y a aussi des coiffures et vêtements gratuit, mais bien sur, il sont moins beaux en général) breff, allez y vous ne serai pas déçu hihi 🙈",5
3,Roblox,"4,5",C'est le meilleur jeu gratuit au monde !!!! Même quand j'ai fait un test pour voir si il sauvegardait quand on le desinstale et... La réponse est oui !!!!!!!!!!!!!!!! Je vous recommande de l'installer car il y as plein de jeux en un !!! Bref ce jeu est LE jeu !!!!,5
4,Roblox,"4,5",J'adore ce jeu! Mais le problème c'est que les beau se payent avec de la vrai argent. Et aussi se serait super qu'il y est une traduction française. Mais c'est quand même un bon jeu! Merci de lire mon commentaire et de régler quelque problème. Meci pour tout et bonne journée!😊😊💖💖,4
5,Roblox,"4,5",Cette application est bien voir très bien adaptée pour les enfants surtout quand cela mais les hashtag quand il y a une insulte ou autres mais la vous vous demandez pourquoi j'ai mis 4 étoiles. J'ai mis 4 étoiles car c'est bien pour les amies etc mais ça beug un peu (selon le téléphone) ou sinon beaucoup alors que sur pc/mac ça marche très bien.,4
6,Roblox,"4,5","J'adore!Ce jeu est trop bien on peut discuter avec ses amis,on peut jouer avec eux,on peut créer des groupes,on peut bloquer des joueurs si il le faut😂,la seule chose qui m'embête c'est que des fois ça me modère mes messages je n'oblige pas les prochain(e)s installateurs (trices) de ce jeu à l'aimer mais au moins à le tester",5
7,Roblox,"4,5",Je mais 5 étoiles parce-que ce jeu et tres tres cool on peut discuter avec nos amie ect...le seul truc embêtant c'est que le jeu《bloxburg》est payant(c'est le seul jeu payant ne vous inquiétez pas😊)est c'est énervant 😡 Mais c'est pas grave cette plate-forme est genial je vous la conseille fortement byee au passage mon compe c'est marie_girlyy voila ❤,5
8,Roblox,"4,5",Dans se jeux y'a plusieurs mini jeux si vous rechercher (par exemple adopte me) vous le trouver ! En plus on peut se faire de nouveaux ami(e)s !On a un chat qui nous permet de discuter avec vos ami(e)s ! Je vous recommande fortement d'y jouer ! Si il y en a qui trouve pas de jeux intéressant invité moi mon nom est Julie_labeste801.Merci de me demander en ami(e)que si vous me parler si non sa serre a rien.Et dsl si je n'accepte pas... Bref meilleure jeux!😜,5
9,Roblox,"4,5","Moi qui a l'habitude de jouer a des jeux de rôles sur adopt et bloxburg je vous conseille grandement à peut être aimer quelques jeux car oui il y a plusieurs jeux (mini-jeux) et je pense que les garçons qui aiment fortnite vont jouer a \""strucid\""ceux qui aiment les jeux de rôles vont sûrement jouer a \""adopt me,\""bloxburg/25robux,\""meepcity\""etc Mon pseudo c miniwelfel9",5
10,Roblox,"4,5",Très bien comme jeu surtout pour cultiver son anglais et aussi apprendre à jouer en communauté ! Ce jeu est très bien pour les jeunes comme pour les adultes le seul inconvénient c'est qu'ils faut acheter des robux avec de l'argent réel et pour les plus jeunes c'est compliqué !! Mais bon le jeu est très bien pour tous les âges ! ❤😘,5
11,Roblox,"4,5","Roblox et un jeux génial !! Par contre, seul petit problème, c'est que il y a beaucoup de mini-jeux qui beugue juste parce que il y a cette choses en plus, ce truc ect. Après, il y a parfois, quand tu rentre dans un des mini-jeux et que par ex, le jeux dois être normalement ba..genre un jeux d'horreur et la t'arrive et ça n'a rien à voir..BREF, je le conseil beaucoup !! 5 étoiiiiiles !♡",5
12,Roblox,"4,5",Déjà pour dire que se jeux et juste magnifique. ya plein de jeux c'est un monde de rêve ! . juste les truc pas cool c'est que les robux faut payer en vrais.☻ mais c'est pas grave sa reste un super jeux. et aussi dans royal high baisser les prix svp . xD c'est pas grave si non mais bien jouer . 💜 et aussi on peut mettre roblox sans connexion s'il vous plaît sa serais trop bien !! \u003c3 .,5
13,Roblox,"4,5","Superbe application j'adore mais sa serai beaucoup mieux si au lieu des robux sa serait gratuit et aussi beaucoup trop de mise à jour, sa serait beaucoup plus simple et plus facile de jouer à roblox si se jeu n'aurait pas besoin de connexion. Je mais comme même 5 étoiles car se jeu est extrêmement bien. Franchement j'adore comme je l'ai dit au début.",5
14,Roblox,"4,5","J'aime beaucoup ce jeu on peut trouver plein de jeux différents, rencontrer de nouvelles personnes . Je n'ai mis que 4 étoiles car à certains jeux la connexion ne marche pas alors que jai vérifié si ça ne venais pas de moi mais bon je vous recommande ce jeu",4
15,Roblox,"4,5",Ce jeux est super ! Je commence par les mauvaise nouvelle de ce jeux car sa ma dérange. 1ère mauvaise nouvelle :quelque lag de temps en temps mais ne gâche pas trop le jeux :) 2ème mauvaise nouvelle :dommage que on peut pas gagner des robux dans des mini jeux :( sinon très bon jeux ou lon peut jouer avec ses amis et en rencontrer d'autres. Merci d'avoir créé se jeux super :D,4
16,Roblox,"4,5","J'adore, seul gros défaut à résoudre : les spam dans les messages globales, améliorer aussi l'accessibilité du jeu ainsi que l'expérience sur mobile Je pense aussi qu'un système d'anti spam kill sur un joueur doit être établi, car quand on se fait spam kill à chaque fois qu'on sort du spawn, cela gâche un peu le jeu, autrement c'est très bien.",5
17,Roblox,"4,5",Plus tôt bien je conseille mais beaucoup de beug et de personnes qui triche ou pirate ( hack ) le jeu. exemple : Tu fais un pas tu meurs . Tu passes à travers les murs . Tu voles . Tu as des armes qui ne sont pas dans le jeu . Bref enfaite je trouve ça dommage que ceci soit disponible pourtant ce jeu est telemment bien . Sinon je conseille voici mon pseudo: joudia_pro ; ),4
18,Roblox,"4,5","Se jeux est génial! Il y a de tout pour plaire à tous le monde. Ce jeux contient plusieurs mini jeux ex horreur, drôle, harry Potter et plein d'autres choses. Tu peux aussi faire des demandes d’amitié pour avoir des amis.bref je vous le conseille vraiment.",5
19,Roblox,"4,5","A part les bugs de connexion dans l'ensemble c'est super.c enbètant car quelquefois, mon écran s'éteint et s'allume quand je joue a prison life.Une multitude de mondes pour jouer et les musiques sont super mais autre défaut:les mises à jours sont trop courantes donc je suis obligé de désinstaller après,c nul quand nos comptes de perdent mais le jeu est génial: merci aux créateurs!!!!!",4
20,Roblox,"4,5","Ce jeu est juste...GéNIAL!! Si vous ête fan des jeu a plusieur platforme (map) je vous conseil roblox! vous pouvez aussi créer la votre ! Et custom un perso^^ Biensûr y a des chose payante mais sa reste un superbe jeu! 5étoil ✨♡︎☺︎︎ Et on peut avoir plein d'ami! Tu peut jouer avec eux et parlez c'est super biensûr y a une limite d'ami mais c'est 200! voilà pour vous dir que roblox est un jeu génial et imprésionant ! je remércie le dévoloppeur de roblox infiniment d'avoir fait se jeu, :)",5
21,Roblox,"4,5","Super super super jeu excellente depuis que je l'ai installé je le quitte pas (à part pour dormir 😂) je le recommande pour tout le monde mais juste que c'est dommage que pour personnaliser l'avatar qu'il ni est pas trop de choix pour les cheveux,visage, vêtements etc...mais sinon j'adore 😁😊👍👍❤️",5
22,Roblox,"4,5","Ce jeu est trop bien je vous le conseil tu peux te fair des ami il y a beaucoup de jeu différent(Adopte Me, Royal High , Brookhaven..) voila beaucoup de jeu yen a qui disent que roblox bug et tout sa mais pas dû tout ses juste qu'il ne savent pas utilisée roblox enfin pas forcément moi sa ne bug pas mes ami sa ne bug pas ses soi il mente soi ses le apareille qui bug moi j'ai l'iPhone 11 et pourtant les gens disent que les iPhone bug beaucoup a causé de roblox mais pas dû tout je conseile ce jeu.",5
23,Roblox,"4,5",Je trouve que Roblox est génial car il y a plein de jeux donc c'est amusant mais en même temps créatif car tu peux créer tes jeux (il faut avoir un bon niveau esmn script) et tes skins ou accessoires (en ayant l'abonnement premium) et même jouer avec tes amis. Les commandes sur mon mobile sont intuitives mes c'est dur de jouer car il faudrait avoir 3 mains😁 une pour l atpuche de droite (sa dépend des jeux) une pour la touche de gauche et une pour tourner la vue. Moi je préfère jouer sur pc. Slt,5
24,Roblox,"4,5","C'est une application tres amusante mais je crois qu'il manque quelque chose... Je trouve sa plate de devoir payer pour avoir des trucs, cheveux, habit et pleins d'aurte chose :l Mais sinon, c'est pas mal. C'est pour cela que je mes 4 étoiles !",4
25,Roblox,"4,5","Roblox c'est un jeu hyper bien pour moi .Il y a plein de jeux et tu peux ajouter des amis tu peux retirer des amis mais moi j'aime pas ça. Retirer des amis c'est pas cool. Et en plus tu peux signaler des amis. Ça veut dire que celui qui t'a signaler ,roblox ne marcherait pas, et il devrait recommencé son compte roblox ça veut dire qu'il doit désinstaller ce jeu et installer encore ce jeu. Mais par contre ce jeu est TRÈS cool🤩🤩",5
26,Roblox,"4,5","Ce jeu est genial !!! Aucun defaut . Dans les avatar il ya des tenu gratuite c'est vraiment bien surtout il ya plusieurs jeux ET LE MEILLEUR c'est qu'on peut cree nous meme nos jeux !! Puis sa c'est merveilleux ! Aussi jamais de pub se qui est rare dans un jeu et on peut cree des groupe, se faire des amis, discuter (signaler des comportements abusifs) Tous ! Bref c'est pour mon mon reve de jeu !! Installer le c'est gratuit ET JAMAIS VOUS ALLER LE REGRETTER!!",5
27,Roblox,"4,5","J'adore cette application, on peux faire plain de chose avec comme: Jouer à de différents jeux ( aventure, d'amour, créatif, animaux, avion...) Bref plain de chose trop cool. Jouer avec des amis a toute heure et discuter avec eu. Et biensur le jeux est super sécuriser sur le message surtout, tu peux signaler quelqu'un si tu vois une personne qui dit des chose bizar ou des gros mot",5
28,Roblox,"4,5","JEU EXCELLENT !! malgré la publicité... On croit que c'est qu'un seul jeu mais en fait à l'intérieur... il y a plein, plein de mondes !! ETC je rajoute que les mise à jour de roblox vont bientôt m'obliger à désinstaller tout mes applications et après je n'aurais que roblox !Alors s'il vous plaît faite moins de mise à jour Merci beaucoup.",5
29,Roblox,"4,5","Ce jeu est génial. Déjà, on peut joué à plein de je différent. Ensuite, on peut customisé son perso à l'infini. Mais ce que je préfère, c le faite que l'on puisse signaler les arnaqueurs. Vraiment je le recommande quand on à besoin de passer le temps 😀😊",5
30,Roblox,"4,5",SUPER JEU on peu jouer à plein de jeu vous pouvez même en créer un!Mais c sur Pc ou Iphone ;-;.0 pub mais il faut de la connexion domage mais vous pouvez jouer avec vos amis il y a de tout les jeu comme paisible et comme horreur je vous conseil piggy c'est un jeu d'horreur mais ça va il fait pas peur et je vous conseille de regarder dans les top des MEUILLEUR jeu et pour la rage quitte 20000000000% c'est TOWER OF THE HELL jai jamais réussi...Bon je vous conseille ce jeu mais defois ça beug UwU,5
31,Roblox,"4,5",J'aime beaucoup ce jeu il est genial je l'aime beaucoup parce que nous pouvons nous faires des potes mais y'a certaines choses qu'on doit payer avec du vraie argent malheureusement .. J'aime pas vraiment ça.. Mais bon vue que je l'aime et que les personnes qui l'ont crée l'on bien fait \u003c3 on peut aussi bloqué des gens 😂😊,5
32,Roblox,"4,5","Nono habitat but est pour faire cristaux de la nouvelle version du monde. nono et elle est de la Sicile par les deux assemblées générales de ligue des champions du coup tu va jouer à la coupe du château pour les deux alors tu veux une photo et le plus important. t es dans les herbier tu joue yen aura pas trop tard, exhibe la une de l'actualité. la fameuse Nathalie Kosciusko-Morizet. c bien ca fille pour la famille. je vais me, le faire. Figurines en plus. je vais en national et la tu vois que ca",5
33,Roblox,"4,5",Cette application et cool mais je mettrais 3 étoile et pourquoi je met sa. Parce que quand je lance un jeu comme zombie attack ou dance off mais ping monte jusqu'a 250 alors que ma connexion et parfaite. Pourrais vous m'expliquez pourquoi mes ping mont jusqu'a 250 alors que ma connexion et parfaite. Expliquer le moi s'il vous plait. Merci cordialment (et aussi je bug beaucoup et que je marche tout doucement alors que ma connexion et parfaite ! Régler ce probléme et de me dire comment l'arreter .,3
34,Roblox,"4,5","Ce jeu est très bien même si il y a des jeux qui big assez... Autent il peut être très bien mais cela n'est pas pour tout les jeux.. C'est normal ils ne peuvent pas être tous parfait. Aussi je trouve personnellement que adopt me surtout, à beaucoup besoin de robux... Ils pourraient peu être mettre un peut plus de chose sans robux.. Et ceci est aussi bien pour d'autre mini jeux..",5
35,Roblox,"4,5",J'adore ce jeu malgré toutes les mises à jour je vous conseille de l'installer il y a comme jeu des parcours adopt me(c'est mon jeu préféré😍) des évasion de prison mais voilà je ne vais tout citer car il y en a tellement que je ne peux pas tout mettre voilà merci beaucoup de votre compréhension 👍😘😍❤️,5
36,Roblox,"4,5","J'adore cette application je pense même que c'est la meilleure de toute ! J'y joue déjà depuis environ 3ans et je ne peux plus lâcher le jeux 🤣😂 j'ai mis 5 étoiles car ce jeux est très vaste , il y a des jeux pour tous les goûts et c'est de même pour notre avatar . Bravo pour les créateurs de ce manifique jeux 😆!",5
37,Roblox,"4,5","J'adore beaucoup le principe ! Mais malheureusement je bug tellement sur le jeux , je joue quand même parce que j'aime tellement. Mais enfaite j'ai enlever une 1 étoile car je bug beaucoup , beaucoup , beaucoup plus sur bubble gum simulator. J'en ai aucune idée. S'il vous plaît régler les bug des personnes qui bug :(",4
