,app,google_score,reviews,user_grade
0,Questions et Réponses. Quiz gratuit. QuizzLand.,"4,8","J'aime beaucoup l'idée d'apprendre des choses et les différents niveaux de difficulté. Cependant un bémol pour moi: ce pourrait être intéressant de pouvoir aller relire les petits textes explicatifs plus tard. Actuellement, lorsqu'on appuie sur continuer nous n'y avons plus accès après. Je trouve que cela a un impact sur le concept du jeu d'apprendre des choses en s'amusant puisque nous ne pouvons pas lire 2 fois l'information ou y revenir plus tard.",3
1,Questions et Réponses. Quiz gratuit. QuizzLand.,"4,8","Ce jeu est vraiment éducatif et très intéressant , j'aime bien l'idée de mettre un petit résumé ou aperçu , quand on joue un niveau , l'idée de mettre un pouce vers le haut ( j'aime ) et le pouce vers le bas ( je n'ame pas ) et aussi génial pas tant que l'idée des commentaires en bas .. C'était tout merci .",5
2,Questions et Réponses. Quiz gratuit. QuizzLand.,"4,8","J'aime beaucoup ce jeu mais je trouve qu',il manque les explications pour bien le comprendre et en profitez pleinement. J,ai lu tout ce que je pouvais mais j'ai beaucoup d,interrogations. Ex: comment choisir le chemin à parcourir pour arriver à la sortie. Ex: que signifie les indices fournies",4
3,Questions et Réponses. Quiz gratuit. QuizzLand.,"4,8","Niveaux bloqués Depuis quelque temps, quand je veux entrer dans un niveau, je recois un message disant que tous les niveaux sont complets et que je dois attendre de nouvelles questions. Ce message s'affiche également, si je veux recommencer un niveau. Au bout d'un jour ou deux, je peux entrer dans un niveau qui était bloqué. Je suis au niveau 421",3
4,Questions et Réponses. Quiz gratuit. QuizzLand.,"4,8","Mon jeu de quizz préféré. Interface simple et efficace. Des explications tout de suite après avoir répondu ou plus tard grâce à l'historique. Choix du niveaux de difficultés, etc. A essayer les yeux fermés.",5
5,Questions et Réponses. Quiz gratuit. QuizzLand.,"4,8","Ce jeu est juste magnifique. Je n'ai pas vu de fautes d'orthographe. L'idée de gagner des points, trophée, level est excellent. L'idée d'un classement mondial aussi. Bref tout est excellent. Les questions sont d'une propreté et tellement bien écrit, expliqué. Je ne comprends pas pourquoi ce jeu n'a pas plus d'avis écrit. Je le conseille fortement pour jouer seul ou a plusieurs et surtout apprendre :)",5
6,Questions et Réponses. Quiz gratuit. QuizzLand.,"4,8","Jeu extrêmement intéressant car une fois qu'on a répondu à la question on a l'explication en dessous que celle-ci (notre réponse) soit vraie ou fausse. Très instructif, motivant, on a pas envie d'arrêter une fois qu'on a commencé !",5
7,Questions et Réponses. Quiz gratuit. QuizzLand.,"4,8",Vraiment top et très instructif. Chaque réponse a une source. Bon il y a pas mal de pub mais on peut les passer rapidement.. bravo... enfin un jeu dont je ne me lasse pas.,5
8,Questions et Réponses. Quiz gratuit. QuizzLand.,"4,8","Différents niveaux de difficulté, une explication à chaque réponse, un bon visuel et surtout presque pas de pub!! Je cherchais un bon quiz, je l'ai trouvé !",5
9,Questions et Réponses. Quiz gratuit. QuizzLand.,"4,8","Ce jeu est super! Il est divertissant et nous permet de se cultiver sur de nombreux aspects (histoire, géographie, connaissances générales, etc.) En plus, il est diversifié. On réponds à des questions mais il y a aussi des mini games au travers de tout ça 🙂 Je recommande vivement !!!",5
