,app,google_score,reviews,user_grade
0,Microsoft Outlook,"4,5","Fait le travail au minimum, c'est à dire se connecte au serveur Exchange... peu de possibilités, pas de prise en charge des couleurs dans l'agenda... bref, pour une utilisation pro, passez votre chemin... J'utilise maintenant à la place l'application Nine de chez 9Folders (payante) qui elle fait tout ce que devrait faire Outlook, et plus encore !",2
1,Microsoft Outlook,"4,5","Fonctionnait très bien jusqu'à la dernière mise à jour : j'ai d'abord perdu mes contacts, puis de nombreux problèmes de synchronisation, les mails restent dans la boîte d'envoi ; j'ai du réinitialiser de nombreuses fois ; et enfin je ne peux plus envoyer de message, outlook refuse de prendre en compte le destinataire. Problème persistant après réinstallation de l'application et en plus j'ai eu beaucoup de mal à configurer le compte. Correction rapide nécessaire.",1
2,Microsoft Outlook,"4,5",L'application plante sans le signaler. Toutes les modifications effectuées après le bug ne sont pas prises en compte. Et après fermeture complète de l'app et sa réouverture tout les mails supprimé ou déplacé sont de retour dans la boîte de réception. De plus cela empêche l'envoi de mail et l'enregistrement automatique des brouillon et des mail en boîte d'envoi. Basculer sur un autre mode de connexion de données permet de résoudre le problème. Pas de prise en charge des règles et des spam.,1
3,Microsoft Outlook,"4,5","Une application intéressante lorsqu'utilisée sur un poste de travail mais franchement irritante lorsqu'utilisée sur un téléphone intelligent : difficultés à lire les courriels lorsqu'ils sont intégrés à une chaîne de réponses. De plus, l'application est hautement instable : par exemple, des notes prises dans une invitation de l'agenda peuvent disparaître lorsque Outlook cesse de fonctionner de façon impromptue. Je songe sérieusement à passer à Gmail.",1
4,Microsoft Outlook,"4,5","Deux fonctions me font particulièrement défaut dans cette appli : 1 - Impossibilité de sélectionner une \""liste de contacts\"", je dois sélectionner les contacts un par un ( à moins qu'il n'y ait une subtilité qui m'échappe alors que je peux sélectionner cette \""liste de contacts\"" sans problème dans Outlook Webmail ...). 2 - Lorsque je dois transmettre un mail à plusieurs destinataires, il n'y a pas de \""case à cocher\"" devant la liste de tous mes contacts pour sélectionner ceux qui m'intéressent. Je dois saisir une lettre ( A par exemple) puis Outlook me propose tous les contacts ayant la lettre A dans le nom ou l'adresse mail afin que je sélectionne celui qui m'intéresse. Bref, application un peu archaïque !",2
5,Microsoft Outlook,"4,5","J'utilise Outlook depuis de nombreuses années à titre professionnel et personnel; Quand on le maitrise bien et que l'on a compris sa logique de fonctionnement, pour gérer ses courriels, ses contacts, son temps, c'est le meilleur outil du marché ( à mon sens). Non, je ne travaille pas chez Microsoft et non, ils ne m'ont pas 💳 💵pour écrire cela.🤥",5
6,Microsoft Outlook,"4,5","Très instable. Des pages d'aides qui ne marchent pas, qui mènent nulle part ou à une pages sans contenu. Des automatismes qu'on n'arrive pas à utiliser, mais qui deviennent juste une masse lourde qui empêche un travail sérieux avec ses mails. Comme un compte des comptes, un en plus, en double avec un des mes adresses mails déjà enregistrés, mais qui capte seulement des mails d'erreurs. Cet erreur n'a pas de solution si on suit la marche à suivre proposé. Voilà Microsoft Office Outlook, le bug.",1
7,Microsoft Outlook,"4,5","De plus en plus compliquée a utiliser.. quand il y a les réponses des mails, le dernier mail apparaît , pour le reste il faut chercher et trouver les 3 petits points... La synchronisation sur mon tél, tablette, ordinateur du boulot ne sert a rien... Je reçois plein de mails qui ont déjà été lus...",1
8,Microsoft Outlook,"4,5","Bonjour, je suis vraiment déçue de l'appli! Il y a des mails qui réapparaissent alors que je les avais supprimés, d'autres que j'ai lu qui repassent en non lu. Des spams qui arrivent dans ma boite de réception prioritaire alors qu'ils ont le petit drapeau rouge. Bref je dois effacés 50 fois et relire 50 fois des mails \""déjà lus\"". Je me demande si je vais pas passer à mon adresse mail de google.",1
9,Microsoft Outlook,"4,5","Depuis les dernières mises à jour, nombreux bugs d'affichage et de synchronisation sur les mails alors qu'il n'y avait aucun souci avant. Par exemple, les mails s'organisent par conversation lorsqu'un nouveau mail arrive en réponse sur un précédent (même si l'option \""organiser par conversation\"" est décochée). Idem lorsqu'un mail est rédigé en réponse à un autre : le brouillon apparaît dans la boîte de réception en conversation sur le mail précédent. Difficile de s'y retrouver...",1
10,Microsoft Outlook,"4,5","Décevant, cette application qui a la base propose la synchronisation de plusieurs comptes mails devient vite pénible. Impossible a lire le contenu des mails, il m'arrive de recevoir un mail vite, je dois passer par une autre application pour lire le mail. De même pour lire des mail envoyé. Impossible également d'effectuer une recherche de mail.",1
