,app,google_score,reviews,user_grade
0,Météo,"4,7","Aucune prévision météo affichée, mais de la pub agaçante pleine page pour Wish (pire site de vente mondial)qui bloque tout accès! C'est une honte d'appeler cette apps Météo car à part de la mauvaise pub il n'y a aucun renseignement utile ! Une pollution informatique ! Poubelle !",1
1,Météo,"4,7",Je regarde souvent la météo..... Je me lève à 4h du matin et part travailler en vélo 🚴 je vérifie le temps ( pluie ☔ / température 🌡 / vent 💨) très bonne application merci👍,5
2,Météo,"4,7","L'application est plutôt pas mal mais les données ne sont pas très fiables. Il y a un bug sur l'affichage des prévisions à la semaine qui présente (par ex) de la pluie sur une journée. Lorsque l'on clique sur cette journée et que l'on bascule sur la vision par heure, on se rend compte qu'il n'y a pas de précipitations prevues...a corriger.",3
3,Météo,"4,7","Bonne appli avec presentation complete (lieu, meteo actuelle, dans 5 heures, dans 5 jours) dommage que la mise a jour ne se fasse pas toujours automatiquement du lieu mais aussi de l heure (0n peut rester avec la meteo du matin jusqu au soir). Enfin u'epossibilite d enlever la pub quand on ferme l appli serait bien.",4
4,Météo,"4,7","Très bonne application, complète et très facile d'utilisation. Elle donne également les prévisions à 1semaine avec le détail par jour. Merci à l'équipe de développement pour votre excellent travail.",5
5,Météo,"4,7","Ravie, le détail du temps qu'il fera correspond parfaitement, c'est une \""super application\""",5
6,Météo,"4,7","Bonne appli, bonne présentation des informations recherchées. Reste à voir si les info. ou données sont fiables ou pas. Je le recommande quand même.",4
7,Météo,"4,7",Bonne application mais beaucoup trop de publicités. Et on retrouve ce problème sur toutes les applications,4
8,Météo,"4,7","Bonne application, informations tres rapide, acces a toutes les villes meme les plus petit! Et surtout tres detaillè. A installer",5
9,Météo,"4,7",J'aime les précisions heure par heure. Facile à utiliser. A voir sur l'utilisation à long terme.,4
10,Météo,"4,7","Cette application est tout simplement géniale! Gratuite, simple, complète. Il n'y a rien à ajouter si ce n'est remercier le développeur 🙏",5
11,Météo,"4,7",Assez bonne application pour le moment et je voudrais l'utiliser d'avantage pour decerner un avis définitif à charge ou à décharge.,4
12,Météo,"4,7","Application précise et appréciable. Très utile pour , notamment, les randonneurs .",5
13,Météo,"4,7",Prévisions claires comportant de nombreux détails et des illustrations (graphiques).,5
14,Météo,"4,7","Ben, c'est très bien, je suis motard, alors je suis content d'avoir une application météo ...qui fonctionne et sur laquelle on peut compter. Merci👍",5
15,Météo,"4,7","Très bonne application, simple, pratique et surtout juste. Merci",5
16,Météo,"4,7","Facile d'utilisation,jolie interface. Je l'utilise tous les jours elle est precise et très utile",5
17,Météo,"4,7","Je me sers de cette Appli tous les jours pour mes cultures et ma femme pour gérer les points de ventes ou il ne pleut pas, je dois dire qu'elle est super précise a 95%, ce qui est logique et très bien. Super l'équipe de programmation.... Merci",5
18,Météo,"4,7",Cette application est très bien détaillée facile et simple à utilisé. Donne toutes les indications pour le temps heures par heure. Moi je l'utilise tous les jours,5
19,Météo,"4,7",Très bien mais je pense qu un graphique comme pour le jour en cours serait bien pour les jours à venir. Plus rapide que les détails heures par heures. À part cela très 👍,5
20,Météo,"4,7","Bonne application mais le widget n'est pas à jour tout le temps, il faut cliquer dessus et ouvrir l'appli",4
21,Météo,"4,7",D'après les applications météo c'est la meilleure Bon continuation et merci,5
22,Météo,"4,7","Archi nul, ne donne jamais les bonnes prévisions, apparemment il pleut tout le temps, même quand y'a du soleil. Bref je désinstalle.",1
23,Météo,"4,7",Il faut arrêter de faire apparaître les pubs. Et que l'application s'ouvre directement.,3
24,Météo,"4,7","Excellent, en plus il y'a l'heure pour chaque pays. La publicité à contrôler.",5
25,Météo,"4,7",Météo réelle et dans les temps !! Très bonne application,5
26,Météo,"4,7","Excellent style d'annonce meteo, et previsions sont justes. Bravo et Merci. !",5
27,Météo,"4,7","Aucune faille, météo au jour le jour, précise et correcte.",5
28,Météo,"4,7","Application très complète et utile. Dommage que des publicités viennent pourrir les écrans. A terme, je la désinstallerai.",5
29,Météo,"4,7",Je trouve que c'est bien expliqué et détaillé et plus la plupart du temps les prévisions sont juste.,5
30,Météo,"4,7",Complette est simple d'utilisation . Franchement je vous félicite . De la part d'un vieux progrmeur COBL a.n.s.,5
31,Météo,"4,7","Besoin d'avoir Automatique sur individuelle locations. Sauf si je n'ai pas la trouvais. Auto \"" .\"" Espace avant la prochaine mots etc.",5
32,Météo,"4,7","Très beau fond d'écran, facile à lire,tout en un seul regard,j'aime bien. Merci pour votre bon travail.",5
33,Météo,"4,7",Bonne application les heures de pluie sont correctes dans l'ensemble. Bravo,5
34,Météo,"4,7",Cette application est très précise puisque les prédictions change toujours et j'en est bessoin ; moi et la météo est comme des frères j'ai voter 5 étoiles,5
35,Météo,"4,7",Application fiable et qui permet de voir plusieurs villes.,5
36,Météo,"4,7","trés bien et trés pratique cette aplication se conecte rapidement ,est jolie et se démarque plus que les autre je vous conseil de l'instalé😀✔️",5
37,Météo,"4,7",Répond largement à mes aspirations de météorologue du dimanche et propose une belle interface. Merci,5
38,Météo,"4,7","Très pratique, une base de données complète. Agréable à l'utilisation.",5
39,METEO FRANCE,"4,0",Bug trop souvent! L'application est relativement fiable mais il Ã©tait agreable de voir la semaine d'un simple coup d'Å“il avant la mise Ã  jour... C'est la seule application de mon smartphone que je suis obligÃ© de dÃ©sinstaller puis rÃ©installer rÃ©guliÃ¨rement pour qu'elle fonctionne...,2
40,METEO FRANCE,"4,0","L'appli est plutÃ´t pas mal, mÃªme si la version prÃ©cÃ©dente Ã©tait plus ergonomique Ã  mon avis. Malheureusement, des publicitÃ©s boguÃ©es au lancement la rendent inaccessible la plupart du temps ! Inadmissible de la part d'un service public.",1
41,METEO FRANCE,"4,0",De bonnes prÃ©visions... mais quel dommage qu'il y ait autant de pub ! d'autant plus navrant pour un service publique... Ps : j'enlÃ¨ve encore Ã©toile et j'ajoute que la nouvelle appli est nettement moins lisible ni personnalisable (tuiles) que l'ancienne... tellement dÃ©cevant cette perte qualitative !,3
42,METEO FRANCE,"4,0","L'application est plutÃ´t pas mal, quand elle fonctionne. Aucun problÃ¨me pour nous mettre des pubs sans cesse, mais pour ouvrir ne serait-ce que l'application en elle mÃªme c'est tout un combat.",2
43,METEO FRANCE,"4,0",Je remets mon avis : app qui plante systÃ©matiquement aprÃ¨s le chargement de la pub. L'appli est inutilisable... Ã‰dit : 3 mois plus tard on en est toujours au mÃªme stade : appli qui plante aprÃ¨s avoir refuser mes cookies...,1
