word,coeff
gros,-5.919890325785557
note,-5.936715730494431
donne,-5.93849880020368
travailler,-6.026859171031253
instagram,-6.049879724397419
page,-6.077734495353579
stylo,-6.081832212547983
part,-6.085610758937996
regarder,-6.181275584938259
format,-6.211218741243857
point,-6.24642396070796
photoshop,-6.253006090188064
niveau,-6.337056586203673
taille,-6.3452154283859254
dernier,-6.353561931070633
régler,-6.382301407862808
calque,-6.475229084761677
ligne,-6.560750099436076
zoomer,-6.604538458237861
ouvrir,-6.735838164348184
