word,coeff
radio,-7.595566287422076
aprs,-7.595566287422076
pourcent,-7.595566287422076
apparer,-7.595566287422076
ford,-7.595566287422076
semaine,-7.595566287422076
fonctionnalité,-7.595566287422076
signaler,-7.595566287422076
plantage,-7.595566287422076
phone,-7.595566287422076
assister,-7.595566287422076
catastrophe,-7.595566287422076
autorisation,-7.595566287422076
stock,-7.595566287422076
stor,-7.595566287422076
fin,-7.595566287422076
partie,-7.595566287422076
compte,-7.595566287422076
offre,-7.595566287422076
acc,-7.595566287422076
