word,coeff
bidon,-7.9594427228302225
désabonner,-7.977510654585284
envoi,-8.003097608956955
résilier,-8.08071002704717
reconnecter,-8.087468028322006
annuler,-8.109211027836853
enlever,-8.137754436608715
pourrir,-8.187261217521817
engager,-8.189676990472828
obligatoire,-8.196446871684609
paie,-8.371087636917597
charger,-8.446775959372108
whatsapp,-8.46059211059129
voleur,-8.479556568349397
prélever,-9.051259337932098
honte,-9.051259337932098
consulter,-9.051259337932098
activer,-9.051259337932098
ponse,-9.051259337932098
remboursement,-9.051259337932098
