word,coeff
graphisme,-7.580670861918989
miga,-7.590385812886365
tenir,-7.592564376793595
inutile,-7.605780957371259
fils,-7.661791638575861
argent,-7.672050062156505
ensemble,-7.702946119170053
accès,-7.708291903219148
maj,-7.787514840207728
changement,-7.821824103811065
plant,-7.876795378526049
décevant,-7.9063719818804685
messagerie,-7.935845469508663
supprimer,-8.063925516349318
limité,-8.176291232079036
préférer,-8.206138657110788
inutilisable,-8.217277506088863
correction,-8.375599859253665
scanner,-8.464622021165205
décevoir,-8.852653985089674
