word,coeff
profil,-7.554976062711011
pire,-7.570177827509381
tentative,-7.577635972266589
beug,-7.5867394517854
valide,-7.599444478526969
identifiant,-7.616410543261663
acc,-7.616959899455572
chat,-7.621038327850097
renseigner,-7.624093873957482
identification,-7.645913384561761
beau,-7.665158321684125
paypal,-7.685968730194526
ok,-7.714290148082702
validation,-7.725439883965966
bloqu,-7.775536905537671
intérêt,-7.781824949867174
pass,-7.800633409275633
indisponible,-8.00375741587522
banqu,-8.00375741587522
déposer,-8.00375741587522
