word,coeff
contact,-9.470249255311167
bourrer,-9.486571841117327
pourcentage,-9.535586222521307
booster,-9.59015189963814
energie,-9.592190517925644
direction,-9.596837785693353
fuir,-9.600837229383908
date,-9.618474318131053
médiocre,-9.663233867631819
moindre,-9.709161813933394
stuff,-9.738766900620776
tente,-9.747025111098433
déteste,-9.791256030033187
équipier,-9.870075175325105
compense,-9.880691803833855
chargeur,-10.422990533207505
desinstallation,-10.422990533207505
mob,-10.422990533207505
ecran,-10.422990533207505
absurde,-10.422990533207505
