word,coeff
to,-9.717855214053433
niantic,-9.717855214053433
aucune,-9.717855214053433
nouvelle,-9.717855214053433
oblig,-9.717855214053433
obligation,-9.717855214053433
espre,-9.717855214053433
ombre,-9.717855214053433
pioche,-9.717855214053433
gâcher,-9.717855214053433
buge,-9.717855214053433
paie,-9.717855214053433
fréquent,-9.717855214053433
parer,-9.717855214053433
perdu,-9.717855214053433
bunker,-9.717855214053433
arnaque,-9.717855214053433
arnaqu,-9.717855214053433
pillard,-9.717855214053433
team,-9.717855214053433
