word,coeff
duel,-7.761741966298673
taper,-7.764379801893454
appuyer,-7.7723844885123725
prix,-7.781513105411782
envier,-7.820894860198995
interface,-7.8664330803502205
effet,-7.870400508286062
tape,-7.9039222264640845
traduire,-7.908147122229776
classique,-7.930799104556222
mobile,-7.951638137235927
décevant,-7.973049710641545
désagréable,-7.991277316931065
mauvais,-7.995092951121148
bloque,-8.356877692911548
injouable,-8.356877692911548
gâche,-8.356877692911548
air,-8.356877692911548
second,-8.356877692911548
déçu,-8.356877692911548
