word,coeff
sécurité,-6.5692304086449775
important,-6.570932577309792
personne,-6.576803662641719
régler,-6.577086078129317
demander,-6.582307509280334
corriger,-6.624601047146248
perdre,-6.636890952583067
imprimante,-6.646541049117606
lien,-6.646781130937077
monde,-6.65018530007931
faite,-6.674374972113853
contrôle,-6.728205128630652
message,-6.736338097859741
adresse,-6.765059079983115
ancien,-6.81500497508491
récupérer,-6.837604174879671
lancer,-6.86398444658814
drive,-6.912304708614607
afficher,-6.989644293801284
déçu,-7.063689743373809
