word,coeff
mois,-6.37214445942798
cause,-6.3792569659616465
fonctionner,-6.3827572005961795
heure,-6.3915293609992965
servir,-6.406631560847749
accéder,-6.418674043366831
pire,-6.454620498794421
revoir,-6.456050955592886
arnaque,-6.458087543162417
intérêt,-6.472983566434436
fake,-6.523999670426396
affiche,-6.524397349315872
inscrire,-6.548275511856887
fil,-6.590445960546357
vérifier,-6.603115035253721
enlever,-6.626577990554707
réel,-6.658387252969462
post,-6.6644936884513175
poster,-6.73360290067922
euro,-6.807759453109104
