word,coeff
out,-8.183934074338506
honte,-8.183934074338506
favori,-8.183934074338506
fibre,-8.183934074338506
correct,-8.183934074338506
cote,-8.183934074338506
aléatoire,-8.183934074338506
chrome,-8.183934074338506
mauvais,-8.183934074338506
crash,-8.183934074338506
pénible,-8.183934074338506
perte,-8.183934074338506
vente,-8.183934074338506
caster,-8.183934074338506
cast,-8.183934074338506
désabonner,-8.183934074338506
arnaque,-8.183934074338506
décalage,-8.183934074338506
message,-8.183934074338506
bloque,-8.183934074338506
