word,coeff
idée,-7.378695241742917
rafale,-7.388199426010434
message,-7.453007386141877
nuit,-7.472946628079395
mme,-7.478830249147326
ecran,-7.492000514075525
désinstaller,-7.495724429632495
publicit,-7.49963524738545
mauvais,-7.53125799159487
achat,-7.5379164945457235
soir,-7.599706694046014
propose,-7.621231584247866
ancien,-7.647721419695566
décevoir,-7.691767216596191
réinstaller,-7.694670953289945
normal,-7.703942880934528
cause,-7.743409324353602
inutilisable,-7.830181264923991
corriger,-7.854170867245709
fausse,-8.00510910281309
