word,coeff
bon,-3.5333705427120723
pouvoir,-3.5641525146249884
faire,-3.570525825068058
super,-3.7320574190350335
simple,-3.957008652673595
adore,-4.051241255470934
photo,-4.071059577089183
dessin,-4.102952802913623
facile,-4.1563398683814015
jeu,-4.198933653817685
aime,-4.3185153582645945
meilleur,-4.355691447370068
cool,-4.373764781842142
recommande,-4.385543742891173
génial,-4.468261750645216
pub,-4.476151563195096
merci,-4.483275861840136
conseille,-4.509214235414284
utiliser,-4.522549798891392
choix,-4.541878119341193
