word,coeff
bon,-4.065761066697839
pouvoir,-4.34468416277141
français,-4.519216247834533
voiture,-4.575695031679266
fonctionne,-4.596896122966695
véhicule,-4.6150668664407295
super,-4.746478367643185
recherche,-4.763240350360431
merci,-4.801916886803661
faire,-4.825897502809766
facile,-4.833315111009426
trouver,-4.854689584497325
pratique,-4.927296183057413
annonce,-4.930163341132841
manqu,-4.941813747057674
parfaire,-4.969839944649646
dommage,-5.006671122755078
jour,-5.014235794108138
simple,-5.025301245649237
mise,-5.029469060537922
