word,coeff
bon,-3.780639600060934
rencontre,-4.099516546405772
pouvoir,-4.160447290065632
site,-4.195784275625959
faire,-4.226451371479927
personne,-4.4044991841799845
profil,-4.427030227441321
message,-4.629609477695864
merci,-4.636759259189983
super,-4.711309754117197
trouver,-4.790638280273083
aime,-4.823257617727196
payer,-4.86390649719638
photo,-4.864501428791998
facile,-4.8794374364833795
gens,-4.8890935321624855
femme,-4.900760528024755
compte,-4.908161890614519
rencontrer,-4.911110024495863
faux,-4.96327045345028
