word,coeff
bon,-3.81864390723851
apprendre,-3.9769827051121505
pouvoir,-4.170015637676687
super,-4.3292093612316656
anglais,-4.351491245738921
faire,-4.359136857248712
merci,-4.470350538551472
langue,-4.480100421087583
pratique,-4.522154275197176
jeu,-4.598164281941052
facile,-4.619525894539226
utile,-4.681969002986863
permettre,-4.837905240516706
meilleur,-4.8399949846154255
utiliser,-4.890750826154241
aime,-4.897712417649114
excellent,-4.899151791545885
jour,-4.930841430549216
mot,-4.946018244517293
recommande,-4.973197738627575
