word,coeff
bon,-4.0396465777435
pratique,-4.153747327102566
simple,-4.189859607535828
facile,-4.255825875220479
compte,-4.381065261706834
pouvoir,-4.388843872597662
super,-4.548922303423675
dépense,-4.554593317153649
utiliser,-4.576851968214406
utilisation,-4.620057118644805
faire,-4.641653415594247
rapide,-4.79582168213667
recommande,-4.799007459218702
permettre,-4.806561126892747
budget,-4.841119206450399
merci,-4.899031063983851
jour,-5.012810916059182
gérer,-5.024943783974534
efficace,-5.0416766619673155
version,-5.054180021295036
