word,coeff
bon,-4.2250653089184205
super,-4.3982946543944115
pouvoir,-4.430248581052761
faire,-4.736851902069242
cool,-4.762685521072818
jouer,-4.794798959058576
adore,-4.8308133298198435
niveau,-4.836112225134282
pub,-4.962238947358434
graphisme,-5.005761116184662
aime,-5.030760424351942
temps,-5.115842284679168
être,-5.159379843182315
génial,-5.189215627969913
étoile,-5.212663646741718
conseille,-5.312178383596305
merci,-5.341462561419997
trouve,-5.367758226817102
jour,-5.379804825621427
dire,-5.382388932151244
