word,coeff
bon,-3.8182887244807078
pub,-4.1489128649433145
apprendre,-4.188271342969367
super,-4.2108329793140795
question,-4.35968892332676
pouvoir,-4.391402205150941
niveau,-4.419130905244654
aime,-4.481110136681476
adore,-4.482217753850838
faire,-4.56047306975085
pays,-4.639286935152363
merci,-4.66631161479445
culture,-4.7180938567935895
logo,-4.757214609498183
intéressant,-4.75867509640908
instructif,-4.792331439704459
jouer,-4.809079829955816
difficile,-4.839234217000747
temps,-4.84868830630279
trouve,-4.860735790274472
