word,coeff
bon,-3.6509735336357307
simple,-3.8132295758875427
pouvoir,-3.8829799766506836
pratique,-3.90434473486303
facile,-4.043127300753054
faire,-4.1718406937725625
efficace,-4.217803885580851
rapide,-4.346595277221933
super,-4.3590707492252685
utilisation,-4.363786957983071
merci,-4.3709577602306675
utiliser,-4.408700576367376
fonctionne,-4.502513579150423
fichier,-4.560016003209266
utile,-4.5755483048418215
jour,-4.609576067442093
recommande,-4.672694858507583
pub,-4.779760322009315
permettre,-4.795961503242747
note,-4.844896994514272
