word,coeff
bon,-3.654042111458198
pouvoir,-3.803836916341827
super,-4.200359345423008
faire,-4.214669074797764
aime,-4.409812424528958
cool,-4.482368975240329
trouve,-4.48683415988541
simple,-4.492974650212994
merci,-4.496719332520913
jour,-4.535350328739856
rapide,-4.550034123238202
meilleur,-4.61032322822161
problème,-4.613679192844476
étoile,-4.666134469747786
compte,-4.678100662094588
vouloir,-4.699685460085023
personne,-4.713261766024104
être,-4.728248142956229
permettre,-4.746380639049598
chose,-4.748875330743301
