word,coeff
bon,-3.6629234953107392
pouvoir,-4.194392553267642
super,-4.245662340881687
match,-4.364137043802005
jeu,-4.456998629436109
merci,-4.604596351579644
faire,-4.611099982290778
meilleur,-4.67988732057621
complet,-4.79507683300247
équipe,-4.818919240909894
recommande,-4.950730546450465
parfaire,-4.964906986144504
utile,-4.970528851030746
cool,-4.972136499011705
manqu,-4.98657738991858
excellent,-5.011189755125901
foot,-5.012564922702751
joueur,-5.034509775226699
version,-5.053605952359703
dommage,-5.073104194276031
