word,coeff
bon,-3.4128737619705687
météo,-3.6906045769039384
fiable,-3.994207280614045
prévision,-4.121390656451891
merci,-4.224220374954125
précis,-4.23649320533195
temps,-4.281962291262053
simple,-4.334254925528699
jour,-4.412384256060735
utile,-4.483409885827895
super,-4.561588239029029
pratique,-4.582629536481734
pouvoir,-4.601144863492898
pub,-4.641011896203955
complet,-4.656901608414788
faire,-4.6650377995834305
utilisation,-4.733962612530133
information,-4.77749053985133
facile,-4.781701567189373
recommande,-4.817369879046538
